method,b,N,F_c
MLE,0,500,0.9924384005367599
VAE,0,500,0.972724146092954
MLE,1,500,0.9961314380914362
VAE,1,500,0.9742283854453643
MLE,2,500,0.994259476203684
VAE,2,500,0.9695633652676697
MLE,3,500,0.9918083004481912
VAE,3,500,0.9734279798934699
MLE,4,500,0.9922695589293902
VAE,4,500,0.9750080351335431
MLE,5,500,0.9952416733931915
VAE,5,500,0.975251424939961
MLE,6,500,0.9970652103149706
VAE,6,500,0.9775575795820949
MLE,7,500,0.9952185502753631
VAE,7,500,0.9771012701140754
MLE,8,500,0.9935020349427433
VAE,8,500,0.9748972555659853
MLE,9,500,0.9940937480370472
VAE,9,500,0.9760009690128055
MLE,10,500,0.9926985544316198
VAE,10,500,0.9740774414225982
MLE,11,500,0.9950378725789326
VAE,11,500,0.9783131538140268
MLE,12,500,0.9939490407785934
VAE,12,500,0.9740695819833504
MLE,13,500,0.9924059573296407
VAE,13,500,0.9735905636081785
MLE,14,500,0.9912731380146185
VAE,14,500,0.9725129453538165
MLE,15,500,0.9932471135003021
VAE,15,500,0.9734022569137303
MLE,16,500,0.9955094620933321
VAE,16,500,0.9753509161066571
MLE,17,500,0.9957834373692237
VAE,17,500,0.9733691475708615
MLE,18,500,0.9909511700315312
VAE,18,500,0.9699959625174808
MLE,19,500,0.9942895687447876
VAE,19,500,0.9689650413619175
MLE,20,500,0.9932622213138425
VAE,20,500,0.9733306953604846
MLE,21,500,0.994016744442478
VAE,21,500,0.9745619555685464
MLE,22,500,0.9927216867943682
VAE,22,500,0.9719054705332704
MLE,23,500,0.9926063491181636
VAE,23,500,0.9739136411620515
MLE,24,500,0.994827513289759
VAE,24,500,0.9704381369503138
MLE,25,500,0.9953342420782222
VAE,25,500,0.9735925207778319
MLE,26,500,0.9936780291788273
VAE,26,500,0.9747118765737595
MLE,27,500,0.9938089510758135
VAE,27,500,0.9759846152612737
MLE,28,500,0.9965182410508057
VAE,28,500,0.9803213754533411
MLE,29,500,0.9920457303436645
VAE,29,500,0.9689711568245015
MLE,30,500,0.9926965004196311
VAE,30,500,0.9708047235505652
MLE,31,500,0.9955962580327552
VAE,31,500,0.9769971327254396
MLE,32,500,0.9932903178372522
VAE,32,500,0.9752331964244234
MLE,33,500,0.9950067664076786
VAE,33,500,0.9752022181351606
MLE,34,500,0.9926153666574227
VAE,34,500,0.9736314270024552
MLE,35,500,0.9933374214956936
VAE,35,500,0.9692823634443073
MLE,36,500,0.9921419559542171
VAE,36,500,0.9735587377690972
MLE,37,500,0.9979109984112976
VAE,37,500,0.9812833898710016
MLE,38,500,0.9927283806532368
VAE,38,500,0.9727321746339046
MLE,39,500,0.9952557903799758
VAE,39,500,0.9779837463346488
MLE,40,500,0.9954791889556653
VAE,40,500,0.9796201576759491
MLE,41,500,0.991648017625295
VAE,41,500,0.9764249956602813
MLE,42,500,0.9962909109076405
VAE,42,500,0.9781166761947118
MLE,43,500,0.9919244355331566
VAE,43,500,0.9738484399710488
MLE,44,500,0.9897124155744299
VAE,44,500,0.9703045947792976
MLE,45,500,0.9935472679635159
VAE,45,500,0.9751419500030906
MLE,46,500,0.9943187008209365
VAE,46,500,0.9746143985876737
MLE,47,500,0.9916496065829014
VAE,47,500,0.9763359080103661
MLE,48,500,0.9922164285822789
VAE,48,500,0.9741872076150601
MLE,49,500,0.9917673025590192
VAE,49,500,0.9713675500922668
