method,b,N,F_c,F_q
MLE,0,10000,0.9997408193564297,0.960387328567139
MLE,1,10000,0.9997778749017934,0.9694000404067207
MLE,2,10000,0.9996442528056821,0.9585907349683841
MLE,3,10000,0.9996006680137346,0.9547690384324314
MLE,4,10000,0.9997036066730614,0.9614439220002092
MLE,5,10000,0.9993818962259856,0.942145308398981
MLE,6,10000,0.9996762372544739,0.9587612365117821
MLE,7,10000,0.999750645763585,0.9624321874741115
MLE,8,10000,0.9995359074006505,0.9526046410361028
MLE,9,10000,0.9998041940713314,0.9665920419220363
MLE,10,10000,0.9996459802230594,0.9517767144516949
MLE,11,10000,0.9997308713313532,0.9581401044563849
MLE,12,10000,0.9996216969520331,0.9533866352769578
MLE,13,10000,0.9994892694767458,0.943280122947914
MLE,14,10000,0.9996951951620677,0.9634519030637206
MLE,15,10000,0.9995796600866501,0.9532797598230307
MLE,16,10000,0.9996720087913372,0.9509772670504535
MLE,17,10000,0.999747575950306,0.9772906586527526
MLE,18,10000,0.9996462232972495,0.9575112595676681
MLE,19,10000,0.9996751971619721,0.9648029069194555
MLE,20,10000,0.9997082814641755,0.9598444248633081
MLE,21,10000,0.9997163453927151,0.9550881653900861
MLE,22,10000,0.999685491395281,0.9496332949489644
MLE,23,10000,0.9996187741701585,0.9684471660593517
MLE,24,10000,0.9996127493434381,0.9645419096754266
MLE,25,10000,0.9996916091328246,0.974704262549107
MLE,26,10000,0.9998031802754715,0.973391700240547
MLE,27,10000,0.9997602192145666,0.9641012587446531
MLE,28,10000,0.9996848108160744,0.9577848369400745
MLE,29,10000,0.9996058258330067,0.9557070776847818
MLE,30,10000,0.9997091815963252,0.9733321079962156
MLE,31,10000,0.9996477656120973,0.9755360889807903
MLE,32,10000,0.9996603383445316,0.9611698523994245
MLE,33,10000,0.9996700887709203,0.9787671770173693
MLE,34,10000,0.9997371449643474,0.9557391187943757
MLE,35,10000,0.9996942727436591,0.9531657416053798
MLE,36,10000,0.9997089193241606,0.9596190089974697
MLE,37,10000,0.999727603188036,0.9580311233957188
MLE,38,10000,0.9997391987605745,0.9678868455998975
MLE,39,10000,0.9995550489269887,0.9532716416698466
MLE,40,10000,0.9996351701487151,0.9649033323324092
MLE,41,10000,0.9996425797038211,0.9571826624583929
MLE,42,10000,0.9997324809510192,0.9695236658167153
MLE,43,10000,0.9994598846424474,0.9470860073114876
MLE,44,10000,0.9998118260966342,0.9802976398852419
MLE,45,10000,0.9997131909959982,0.9621215816884088
MLE,46,10000,0.999769905961987,0.9680891155835217
MLE,47,10000,0.9996993913498198,0.9531641704093468
MLE,48,10000,0.9996058879680491,0.955909064200092
MLE,49,10000,0.9996789086699882,0.9517711134127138
