method,b,N,F_c
MLE,0,5000,0.9995286058316483
VAE,0,5000,0.9983865334960071
MLE,1,5000,0.9991088016964226
VAE,1,5000,0.9964638979415553
MLE,2,5000,0.999454394542143
VAE,2,5000,0.9982976362391576
MLE,3,5000,0.9994922423920344
VAE,3,5000,0.9978931947715818
MLE,4,5000,0.999403563881856
VAE,4,5000,0.9986154653440903
MLE,5,5000,0.9993637425884591
VAE,5,5000,0.9984802284984124
MLE,6,5000,0.9995549523319577
VAE,6,5000,0.9988821200800102
MLE,7,5000,0.9994892600661863
VAE,7,5000,0.9980764328305954
MLE,8,5000,0.9995312213716872
VAE,8,5000,0.997915031194638
MLE,9,5000,0.9996176517532221
VAE,9,5000,0.998410970062093
MLE,10,5000,0.9995311728593845
VAE,10,5000,0.9981236017446105
MLE,11,5000,0.9993892903529479
VAE,11,5000,0.9983094167002078
MLE,12,5000,0.9994536981552176
VAE,12,5000,0.9979436682925322
MLE,13,5000,0.9992298126058918
VAE,13,5000,0.9983492587332063
MLE,14,5000,0.9993835712221422
VAE,14,5000,0.9982428722649102
MLE,15,5000,0.9991758845614592
VAE,15,5000,0.9991061939153661
MLE,16,5000,0.9993505665652578
VAE,16,5000,0.9986102567909723
MLE,17,5000,0.9994939704652074
VAE,17,5000,0.9970955083865498
MLE,18,5000,0.999488097774922
VAE,18,5000,0.9976311698512172
MLE,19,5000,0.9994003958678864
VAE,19,5000,0.9985827131451879
MLE,20,5000,0.999370597460872
VAE,20,5000,0.9982987919524465
MLE,21,5000,0.9990466684626808
VAE,21,5000,0.9976987031790316
MLE,22,5000,0.9992137198998339
VAE,22,5000,0.9985453696671578
MLE,23,5000,0.999247726055166
VAE,23,5000,0.9975794081381143
MLE,24,5000,0.999383856502293
VAE,24,5000,0.9984010327201643
MLE,25,5000,0.9990644324378237
VAE,25,5000,0.9985325309783846
MLE,26,5000,0.9994139828366864
VAE,26,5000,0.9985535213276963
MLE,27,5000,0.9996148678473259
VAE,27,5000,0.9968396935033375
MLE,28,5000,0.999523467619034
VAE,28,5000,0.9983017807956637
MLE,29,5000,0.9995049291404953
VAE,29,5000,0.9990897828398572
MLE,30,5000,0.9996081749303596
VAE,30,5000,0.9972149257013013
MLE,31,5000,0.9994311797631192
VAE,31,5000,0.9985635564905617
MLE,32,5000,0.9995966668331573
VAE,32,5000,0.9983481017716898
MLE,33,5000,0.999450111037999
VAE,33,5000,0.9984427804782028
MLE,34,5000,0.9995278921883606
VAE,34,5000,0.9982548908267066
MLE,35,5000,0.9990582142923986
VAE,35,5000,0.9979431372158842
MLE,36,5000,0.999098589727312
VAE,36,5000,0.9983225386134553
MLE,37,5000,0.9992808338793195
VAE,37,5000,0.9976586621384924
MLE,38,5000,0.9991886359216866
VAE,38,5000,0.9976297424491922
MLE,39,5000,0.9989646669294092
VAE,39,5000,0.997055955734502
MLE,40,5000,0.9994002151661087
VAE,40,5000,0.9976250791822977
MLE,41,5000,0.9994983628166786
VAE,41,5000,0.9982613652645825
MLE,42,5000,0.9989835969308767
VAE,42,5000,0.9983339656506075
MLE,43,5000,0.999347852606919
VAE,43,5000,0.9983470726953851
MLE,44,5000,0.9992985921515881
VAE,44,5000,0.9983929522481048
MLE,45,5000,0.9992649082281502
VAE,45,5000,0.9983529547408322
MLE,46,5000,0.99925428005302
VAE,46,5000,0.9979321042095195
MLE,47,5000,0.9992490653585735
VAE,47,5000,0.9980652145323065
MLE,48,5000,0.9994101115918613
VAE,48,5000,0.9986364052423292
MLE,49,5000,0.9992252605296258
VAE,49,5000,0.9977539314756914
