method,b,N,F_c,F_q
MLE,0,500,0.9924384005376243,0.822625248101
MLE,1,500,0.996131438091398,0.9154581026341659
MLE,2,500,0.9942594762039599,0.8108323368942211
MLE,3,500,0.9918083004483995,0.8356796069115681
MLE,4,500,0.9922695589292747,0.7528374349911887
MLE,5,500,0.9952416733929955,0.8336598838022832
MLE,6,500,0.9970652103152845,0.8638078891818793
MLE,7,500,0.9952185502798366,0.8428850448416078
MLE,8,500,0.9935020349427809,0.8811766675844834
MLE,9,500,0.9940937480371188,0.8514168126973778
MLE,10,500,0.992698554432268,0.7618015050282146
MLE,11,500,0.9950378725856373,0.8821183439613902
MLE,12,500,0.9939490407777548,0.7881768308125087
MLE,13,500,0.9924059573285411,0.8324111162385818
MLE,14,500,0.9912731380315771,0.8054350660313155
MLE,15,500,0.9932471135012166,0.8102656608279912
MLE,16,500,0.9955094620945681,0.797329182384002
MLE,17,500,0.9957834373697734,0.8836153266812142
MLE,18,500,0.9909511700203144,0.7518179433628078
MLE,19,500,0.9942895430238274,0.8147901436052432
MLE,20,500,0.9932622213152358,0.8157952528064677
MLE,21,500,0.9940167444429626,0.8349882835772465
MLE,22,500,0.992721686795832,0.7559131860238406
MLE,23,500,0.9926063491171113,0.7762769853379373
MLE,24,500,0.9948275132870142,0.849782590636167
MLE,25,500,0.9953342420779001,0.8358625290659172
MLE,26,500,0.9936780291790774,0.8033116769230539
MLE,27,500,0.9938089510754929,0.8478379691401514
MLE,28,500,0.9965182410510184,0.9047892383728203
MLE,29,500,0.9920457303432094,0.7832161340704222
MLE,30,500,0.9926965134646953,0.7448548887463987
MLE,31,500,0.9955962580337797,0.8577553417363152
MLE,32,500,0.9932903613505126,0.8484978374016594
MLE,33,500,0.9950067664082268,0.8570763343077721
MLE,34,500,0.9926153666504495,0.7504009987911954
MLE,35,500,0.9933374214955596,0.8088754433352742
MLE,36,500,0.9921419559544449,0.8024118616366426
MLE,37,500,0.9979109984113677,0.8698851774038024
MLE,38,500,0.9927283806454076,0.7568472800215904
MLE,39,500,0.9952557903797743,0.892902770285892
MLE,40,500,0.9954791998343175,0.8581648042770789
MLE,41,500,0.991648017620385,0.7117239715131296
MLE,42,500,0.9962909109080992,0.8553876567464165
MLE,43,500,0.991924435522362,0.8414057084385894
MLE,44,500,0.9897124155743896,0.7452257722460265
MLE,45,500,0.9935472679686057,0.8353540420400947
MLE,46,500,0.9943187008208195,0.7911159294126158
MLE,47,500,0.991649606231034,0.7803840318254631
MLE,48,500,0.9922164273076117,0.7713684314564359
MLE,49,500,0.9917673025590723,0.7960763044047836
