outcome,p_exact,p_vae,p_train,p_unif
"(0, 0, 0, 0)",0.03125,0.01752,0.0325,0.00390625
"(0, 0, 0, 1)",0.010416666666666668,0.00688,0.01125,0.00390625
"(0, 0, 0, 2)",0.010416666666666668,0.00831,0.015,0.00390625
"(0, 0, 0, 3)",0.010416666666666668,0.00628,0.01,0.00390625
"(0, 0, 1, 0)",0.010416666666666668,0.00468,0.0075,0.00390625
"(0, 0, 1, 1)",0.0034722222222222233,0.00251,0.0,0.00390625
"(0, 0, 1, 2)",0.0034722222222222233,0.00237,0.00125,0.00390625
"(0, 0, 1, 3)",0.0034722222222222233,0.00252,0.00125,0.00390625
"(0, 0, 2, 0)",0.010416666666666668,0.008,0.01125,0.00390625
"(0, 0, 2, 1)",0.0034722222222222233,0.00479,0.00875,0.00390625
"(0, 0, 2, 2)",0.0034722222222222233,0.00513,0.00375,0.00390625
"(0, 0, 2, 3)",0.0034722222222222233,0.00384,0.00375,0.00390625
"(0, 0, 3, 0)",0.010416666666666668,0.00862,0.015,0.00390625
"(0, 0, 3, 1)",0.0034722222222222233,0.00446,0.005,0.00390625
"(0, 0, 3, 2)",0.0034722222222222233,0.00418,0.00625,0.00390625
"(0, 0, 3, 3)",0.0034722222222222233,0.00352,0.005,0.00390625
"(0, 1, 0, 0)",0.010416666666666668,0.00772,0.015,0.00390625
"(0, 1, 0, 1)",0.0034722222222222233,0.00371,0.0025,0.00390625
"(0, 1, 0, 2)",0.0034722222222222233,0.00445,0.00625,0.00390625
"(0, 1, 0, 3)",0.0034722222222222233,0.00375,0.0075,0.00390625
"(0, 1, 1, 0)",0.0034722222222222233,0.00398,0.0025,0.00390625
"(0, 1, 1, 1)",0.0011574074074074078,0.00299,0.00125,0.00390625
"(0, 1, 1, 2)",0.0011574074074074078,0.00278,0.00125,0.00390625
"(0, 1, 1, 3)",0.0011574074074074078,0.00293,0.00125,0.00390625
"(0, 1, 2, 0)",0.0034722222222222233,0.00459,0.0075,0.00390625
"(0, 1, 2, 1)",0.0011574074074074078,0.00375,0.0,0.00390625
"(0, 1, 2, 2)",0.0011574074074074078,0.00376,0.00125,0.00390625
"(0, 1, 2, 3)",0.0011574074074074078,0.00336,0.0,0.00390625
"(0, 1, 3, 0)",0.0034722222222222233,0.00505,0.005,0.00390625
"(0, 1, 3, 1)",0.0011574074074074078,0.00399,0.0025,0.00390625
"(0, 1, 3, 2)",0.0011574074074074078,0.00344,0.00125,0.00390625
"(0, 1, 3, 3)",0.0011574074074074078,0.00314,0.00125,0.00390625
"(0, 2, 0, 0)",0.010416666666666668,0.0052,0.00875,0.00390625
"(0, 2, 0, 1)",0.0034722222222222233,0.00307,0.00375,0.00390625
"(0, 2, 0, 2)",0.0034722222222222233,0.00362,0.0025,0.00390625
"(0, 2, 0, 3)",0.0034722222222222233,0.00322,0.00375,0.00390625
"(0, 2, 1, 0)",0.0034722222222222233,0.00248,0.0025,0.00390625
"(0, 2, 1, 1)",0.0011574074074074078,0.00222,0.00125,0.00390625
"(0, 2, 1, 2)",0.0011574074074074078,0.00242,0.00125,0.00390625
"(0, 2, 1, 3)",0.0011574074074074078,0.00225,0.0,0.00390625
"(0, 2, 2, 0)",0.0034722222222222233,0.00317,0.0,0.00390625
"(0, 2, 2, 1)",0.0011574074074074078,0.00312,0.00125,0.00390625
"(0, 2, 2, 2)",0.0011574074074074078,0.00371,0.00375,0.00390625
"(0, 2, 2, 3)",0.0011574074074074078,0.00306,0.0,0.00390625
