method,b,N,F_c
MLE,0,1000,0.9954870841049266
VAE,0,1000,0.9807450254534452
MLE,1,1000,0.9988555310168714
VAE,1,1000,0.9847927891395281
MLE,2,1000,0.9970090805766755
VAE,2,1000,0.9755015242914076
MLE,3,1000,0.996063890691889
VAE,3,1000,0.9803403028330128
MLE,4,1000,0.9972858555537876
VAE,4,1000,0.9798476039053575
MLE,5,1000,0.9969749304398134
VAE,5,1000,0.9795550828982023
MLE,6,1000,0.9978987398358744
VAE,6,1000,0.980768271501361
MLE,7,1000,0.9986027892655841
VAE,7,1000,0.9835557529490829
MLE,8,1000,0.9976248942443343
VAE,8,1000,0.9773733576627749
MLE,9,1000,0.9967997446007965
VAE,9,1000,0.9819536212633693
MLE,10,1000,0.9975878425485368
VAE,10,1000,0.98201155530067
MLE,11,1000,0.9976559010259125
VAE,11,1000,0.9807958648182726
MLE,12,1000,0.9957560457197794
VAE,12,1000,0.9785185668654375
MLE,13,1000,0.994684915942918
VAE,13,1000,0.9778787743078109
MLE,14,1000,0.9948091929713841
VAE,14,1000,0.9805038905039402
MLE,15,1000,0.9955493133064108
VAE,15,1000,0.9778712081971671
MLE,16,1000,0.9978628063145978
VAE,16,1000,0.9844701403056908
MLE,17,1000,0.9963544990285269
VAE,17,1000,0.9795327586368789
MLE,18,1000,0.9955691691032451
VAE,18,1000,0.976720732672405
MLE,19,1000,0.9970399066111383
VAE,19,1000,0.9808937187250564
MLE,20,1000,0.9973568495420732
VAE,20,1000,0.9812930558612601
MLE,21,1000,0.9975333425626602
VAE,21,1000,0.9805750104300313
MLE,22,1000,0.9968390022531074
VAE,22,1000,0.9782017030715264
MLE,23,1000,0.9959174782550504
VAE,23,1000,0.9805631787689938
MLE,24,1000,0.9983852988737479
VAE,24,1000,0.9805662283518801
MLE,25,1000,0.9982972044152499
VAE,25,1000,0.9819282109785248
MLE,26,1000,0.9975455391613546
VAE,26,1000,0.979594292201295
MLE,27,1000,0.9978900634244272
VAE,27,1000,0.98215080407672
MLE,28,1000,0.9972329090273382
VAE,28,1000,0.9800543821184489
MLE,29,1000,0.9960020481007954
VAE,29,1000,0.9797538326020572
MLE,30,1000,0.9974978977188178
VAE,30,1000,0.9767469337721827
MLE,31,1000,0.9981428127959738
VAE,31,1000,0.9814659510620584
MLE,32,1000,0.9965797999576953
VAE,32,1000,0.9791034562503212
MLE,33,1000,0.9977243940837072
VAE,33,1000,0.9828889298063365
MLE,34,1000,0.9967901627088142
VAE,34,1000,0.9759651572096862
MLE,35,1000,0.997601463723719
VAE,35,1000,0.9772627818536387
MLE,36,1000,0.9958876271425406
VAE,36,1000,0.9762026376441553
MLE,37,1000,0.9974556802165795
VAE,37,1000,0.9816307944077935
MLE,38,1000,0.9963884547658158
VAE,38,1000,0.9807909114761769
MLE,39,1000,0.9977604827616952
VAE,39,1000,0.9809156959774299
MLE,40,1000,0.9964263356425662
VAE,40,1000,0.9760282420294857
MLE,41,1000,0.9957382824501618
VAE,41,1000,0.9803449201751157
MLE,42,1000,0.9977613554813396
VAE,42,1000,0.9829773434355127
MLE,43,1000,0.9955092588343454
VAE,43,1000,0.9762592658089512
MLE,44,1000,0.9958806050504946
VAE,44,1000,0.980944662842001
MLE,45,1000,0.9965689892196051
VAE,45,1000,0.9766923440657197
MLE,46,1000,0.9973406412973699
VAE,46,1000,0.9852461702894834
MLE,47,1000,0.9969492703461684
VAE,47,1000,0.9785945505798989
MLE,48,1000,0.9954648875740916
VAE,48,1000,0.9801633014330557
MLE,49,1000,0.9969174947022663
VAE,49,1000,0.9757934173921565
