method,b,N,F_c
MLE,0,100,0.977377358946171
VAE,0,100,0.9381128674910844
MLE,1,100,0.9746434931630248
VAE,1,100,0.9325975358787966
MLE,2,100,0.981217431716489
VAE,2,100,0.9362603087222566
MLE,3,100,0.9761229003117466
VAE,3,100,0.9426064436490148
MLE,4,100,0.9749675038835012
VAE,4,100,0.9247267311732783
MLE,5,100,0.9723404686422303
VAE,5,100,0.9121945295215587
MLE,6,100,0.9738796524205228
VAE,6,100,0.9292862408927226
MLE,7,100,0.9850798999129036
VAE,7,100,0.9362363619724303
MLE,8,100,0.9676940057879259
VAE,8,100,0.9357569490244134
MLE,9,100,0.9768004945268651
VAE,9,100,0.9231609563959867
MLE,10,100,0.9522156706490927
VAE,10,100,0.9141275188226528
MLE,11,100,0.9603164594870707
VAE,11,100,0.9395320125140846
MLE,12,100,0.975919171582359
VAE,12,100,0.9142125743254832
MLE,13,100,0.9670571252166221
VAE,13,100,0.9187735555346276
MLE,14,100,0.9566452819192732
VAE,14,100,0.895349353492816
MLE,15,100,0.9724018515552425
VAE,15,100,0.9226972910960604
MLE,16,100,0.9690477515232447
VAE,16,100,0.9111255235744703
MLE,17,100,0.954312037860255
VAE,17,100,0.9217373356881737
MLE,18,100,0.9816621174561616
VAE,18,100,0.9341818746034571
MLE,19,100,0.9599159682717757
VAE,19,100,0.9114664122250975
MLE,20,100,0.9736485023332059
VAE,20,100,0.9305287164614441
MLE,21,100,0.9750686320979787
VAE,21,100,0.924069283436384
MLE,22,100,0.9565080254906396
VAE,22,100,0.9161497361457372
MLE,23,100,0.9742680537992745
VAE,23,100,0.9435112334072953
MLE,24,100,0.9709410659786842
VAE,24,100,0.9205984665024105
MLE,25,100,0.9643030323502755
VAE,25,100,0.9130140255391186
MLE,26,100,0.9881720484668465
VAE,26,100,0.9410843040245535
MLE,27,100,0.974674436866822
VAE,27,100,0.9317309381406512
MLE,28,100,0.9910126976093777
VAE,28,100,0.9353982607666633
MLE,29,100,0.975127198972132
VAE,29,100,0.922091634153099
MLE,30,100,0.9838961069342785
VAE,30,100,0.9263148813886989
MLE,31,100,0.981626065913617
VAE,31,100,0.950937958252553
MLE,32,100,0.9647751146987308
VAE,32,100,0.920050498135017
MLE,33,100,0.9680234855280839
VAE,33,100,0.9366971310984809
MLE,34,100,0.9858165830550017
VAE,34,100,0.9465259227083629
MLE,35,100,0.9607713815317822
VAE,35,100,0.9102298483096696
MLE,36,100,0.9696916967888396
VAE,36,100,0.9315764280013403
MLE,37,100,0.966895350534412
VAE,37,100,0.9090409432340995
MLE,38,100,0.9664556279822799
VAE,38,100,0.9181862829261898
MLE,39,100,0.9595780486681008
VAE,39,100,0.9098333053076848
MLE,40,100,0.9775785022623388
VAE,40,100,0.9418946511821017
MLE,41,100,0.9790826008347439
VAE,41,100,0.9284397340488768
MLE,42,100,0.9809481658733509
VAE,42,100,0.9388947764285019
MLE,43,100,0.9647838319642648
VAE,43,100,0.9316620186892433
MLE,44,100,0.9677535086776112
VAE,44,100,0.9138651665514566
MLE,45,100,0.9683911873524329
VAE,45,100,0.9176412761718438
MLE,46,100,0.9669919702751535
VAE,46,100,0.9253209773649633
MLE,47,100,0.9716605741576129
VAE,47,100,0.9208143512229418
MLE,48,100,0.9671903028999957
VAE,48,100,0.9322794117118172
MLE,49,100,0.9484709657559044
VAE,49,100,0.9112569224277461
