method,b,N,F_c
MLE,0,200,0.9896606469556054
VAE,0,200,0.9933553630786244
MLE,1,200,0.9921158438322701
VAE,1,200,0.9887130186873168
MLE,2,200,0.9905598855547495
VAE,2,200,0.9901556872082937
MLE,3,200,0.991973357109041
VAE,3,200,0.9906891955046809
MLE,4,200,0.9931075999519702
VAE,4,200,0.9889918960587033
MLE,5,200,0.9920850866733056
VAE,5,200,0.992023156397158
MLE,6,200,0.9897762272089371
VAE,6,200,0.9888754286168526
MLE,7,200,0.9935878693969574
VAE,7,200,0.9927944925117861
MLE,8,200,0.9931386695408927
VAE,8,200,0.9950440132799241
MLE,9,200,0.9853098519643043
VAE,9,200,0.980313919677795
MLE,10,200,0.9847374077895866
VAE,10,200,0.9886047776352994
MLE,11,200,0.9885142901861897
VAE,11,200,0.9936834279873042
MLE,12,200,0.9904848197641588
VAE,12,200,0.9893548785655404
MLE,13,200,0.9824458952470343
VAE,13,200,0.9838702961682717
MLE,14,200,0.9876947650460313
VAE,14,200,0.985249384061045
MLE,15,200,0.9932698796267595
VAE,15,200,0.9939124112923454
MLE,16,200,0.9859166355360257
VAE,16,200,0.9912911081330262
MLE,17,200,0.9834706508673278
VAE,17,200,0.986872401557221
MLE,18,200,0.9882043499421609
VAE,18,200,0.9896042952974585
MLE,19,200,0.9876282635580089
VAE,19,200,0.9914097456648154
MLE,20,200,0.9930645186237012
VAE,20,200,0.986401162106293
MLE,21,200,0.9884159792674693
VAE,21,200,0.9884829353749925
MLE,22,200,0.9833881947974475
VAE,22,200,0.9875425159377282
MLE,23,200,0.9921278476451213
VAE,23,200,0.9898841334681874
MLE,24,200,0.9854090257305317
VAE,24,200,0.987425967357816
MLE,25,200,0.989606599858382
VAE,25,200,0.9896525519514472
MLE,26,200,0.9894886872961793
VAE,26,200,0.9908981824283094
MLE,27,200,0.9933430807563524
VAE,27,200,0.9825540718241622
MLE,28,200,0.9903812357995232
VAE,28,200,0.9925185134430066
MLE,29,200,0.9931561967425457
VAE,29,200,0.9914678045834312
MLE,30,200,0.9934716679040404
VAE,30,200,0.9885769751963478
MLE,31,200,0.9838886845338054
VAE,31,200,0.9896143194953391
MLE,32,200,0.9828049074468133
VAE,32,200,0.9860373253631266
MLE,33,200,0.9875504814551195
VAE,33,200,0.9903384490457207
MLE,34,200,0.9914566412222526
VAE,34,200,0.9898429395569341
MLE,35,200,0.9895015681153098
VAE,35,200,0.986610442628489
MLE,36,200,0.9884846750934224
VAE,36,200,0.9877807170608386
MLE,37,200,0.9893660771593682
VAE,37,200,0.9864142977662471
MLE,38,200,0.9929571019513372
VAE,38,200,0.9901435430816463
MLE,39,200,0.9843027980814003
VAE,39,200,0.9879571835475313
MLE,40,200,0.992602277278854
VAE,40,200,0.9883458774011618
MLE,41,200,0.9891753338273269
VAE,41,200,0.9867825859151614
MLE,42,200,0.9795781199176511
VAE,42,200,0.9840626826154503
MLE,43,200,0.9877597214171565
VAE,43,200,0.9872872938079695
MLE,44,200,0.9808961715368912
VAE,44,200,0.9828162509712631
MLE,45,200,0.9888376284645429
VAE,45,200,0.9905781867794246
MLE,46,200,0.9893280925798815
VAE,46,200,0.9919716561096223
MLE,47,200,0.9908605676459196
VAE,47,200,0.9917841706811921
MLE,48,200,0.9907162951022149
VAE,48,200,0.9906363125297001
MLE,49,200,0.9927264157882632
VAE,49,200,0.9924288417579675
