method,b,N,F_c
MLE,0,500,0.9924384005367599
VAE,0,500,0.9755636968384387
MLE,1,500,0.9961314380914362
VAE,1,500,0.9798513270126092
MLE,2,500,0.994259476203684
VAE,2,500,0.9759484003912262
MLE,3,500,0.9918083004481912
VAE,3,500,0.9764408550894316
MLE,4,500,0.9922695589293902
VAE,4,500,0.9787449072022754
MLE,5,500,0.9952416733931915
VAE,5,500,0.9774338262995261
MLE,6,500,0.9970652103149706
VAE,6,500,0.9821239416571278
MLE,7,500,0.9952185502753631
VAE,7,500,0.9783477196316942
MLE,8,500,0.9935020349427433
VAE,8,500,0.9748332809653147
MLE,9,500,0.9940937480370472
VAE,9,500,0.975019723103959
MLE,10,500,0.9926985544316198
VAE,10,500,0.9782522064257968
MLE,11,500,0.9950378725789326
VAE,11,500,0.9776360690020112
MLE,12,500,0.9939490407785934
VAE,12,500,0.9761756195622471
MLE,13,500,0.9924059573296407
VAE,13,500,0.9765385398708796
MLE,14,500,0.9912731380146185
VAE,14,500,0.9723857145836869
MLE,15,500,0.9932471135003021
VAE,15,500,0.9747626668551342
MLE,16,500,0.9955094620933321
VAE,16,500,0.9771947306152373
MLE,17,500,0.9957834373692237
VAE,17,500,0.9781430629867699
MLE,18,500,0.9909511700315312
VAE,18,500,0.9707609063461874
MLE,19,500,0.9942895687447876
VAE,19,500,0.9768357719293023
MLE,20,500,0.9932622213138425
VAE,20,500,0.97341052321043
MLE,21,500,0.994016744442478
VAE,21,500,0.9779350428488204
MLE,22,500,0.9927216867943682
VAE,22,500,0.9759917186194288
MLE,23,500,0.9926063491181636
VAE,23,500,0.9775726022974296
MLE,24,500,0.994827513289759
VAE,24,500,0.9736090761009705
MLE,25,500,0.9953342420782222
VAE,25,500,0.9756944932866921
MLE,26,500,0.9936780291788273
VAE,26,500,0.9757787939480129
MLE,27,500,0.9938089510758135
VAE,27,500,0.9760730064406439
MLE,28,500,0.9965182410508057
VAE,28,500,0.9791213154642666
MLE,29,500,0.9920457303436645
VAE,29,500,0.9714893131676514
MLE,30,500,0.9926965004196311
VAE,30,500,0.9746682821503724
MLE,31,500,0.9955962580327552
VAE,31,500,0.9745599479637933
MLE,32,500,0.9932903178372522
VAE,32,500,0.9785394953689187
MLE,33,500,0.9950067664076786
VAE,33,500,0.9768323640093142
MLE,34,500,0.9926153666574227
VAE,34,500,0.9719474009288414
MLE,35,500,0.9933374214956936
VAE,35,500,0.9718439938374924
MLE,36,500,0.9921419559542171
VAE,36,500,0.9787917246133657
MLE,37,500,0.9979109984112976
VAE,37,500,0.9807577662994528
MLE,38,500,0.9927283806532368
VAE,38,500,0.9761223643717586
MLE,39,500,0.9952557903799758
VAE,39,500,0.9789363072226321
MLE,40,500,0.9954791889556653
VAE,40,500,0.9777208202686389
MLE,41,500,0.991648017625295
VAE,41,500,0.9769325025955194
MLE,42,500,0.9962909109076405
VAE,42,500,0.9798582105994887
MLE,43,500,0.9919244355331566
VAE,43,500,0.9732973797313601
MLE,44,500,0.9897124155744299
VAE,44,500,0.9725953466169696
MLE,45,500,0.9935472679635159
VAE,45,500,0.9767755920021727
MLE,46,500,0.9943187008209365
VAE,46,500,0.9788664921734515
MLE,47,500,0.9916496065829014
VAE,47,500,0.9780651683673907
MLE,48,500,0.9922164285822789
VAE,48,500,0.9771302094539426
MLE,49,500,0.9917673025590192
VAE,49,500,0.9777097593737851
