n_qubits,n_samples,Fc,Fc_train
3,500,0.9739024406905472,0.9740815582734412
3,1000,0.9816992743549511,0.9859543134248532
3,5000,0.9897008264170373,0.9980129481485616
3,10000,0.9920432723722759,0.9991576143866822
3,20000,0.9929254214030426,0.9995178537440083
3,50000,0.9931118652920451,0.9998106353655654
4,500,0.9508819076523572,0.8685924171020366
4,1000,0.9677282503261851,0.9393745339087695
4,5000,0.9860731775831608,0.9910195681532725
4,10000,0.9859320196184836,0.9959306303140212
4,20000,0.9882820655639706,0.9977783627036361
4,50000,0.9910152186239714,0.9991798652904729
5,500,0.9612668580532057,0.6644382144253546
5,1000,0.9387090507312005,0.799429244329794
5,5000,0.9661668512064279,0.9497682997070354
5,10000,0.986631300754807,0.9789618202619463
5,20000,0.9882814722460506,0.989662292174908
5,50000,0.9897006063648488,0.9963433080589708
