n_qubits,n_samples,Fc,Fc_train
4,5000,0.9847423506514856,0.9894179268550579
4,10000,0.9888086534204045,0.9956806305315529
4,20000,0.9896002349177696,0.9980898119112878
4,50000,0.9908206018463027,0.9991898968278021
6,5000,0.9728766486287139,0.8486285934949782
6,10000,0.9841400652519166,0.9131934507811729
6,20000,0.9795927810678725,0.9536105339100359
6,50000,0.9856790069822357,0.9833433129124556
8,5000,0.8794367792457687,0.4335535527114262
8,10000,0.967071027406565,0.5606048230913611
8,20000,0.9789451213152043,0.6927356798768074
8,50000,0.9735987929874592,0.8296500265380377
